x_0
x_1
x_2
x_4
x_3
x_5
x_6
x_7
x_9
x_10
x_14
x_12
x_13
x_8
x_16
x_11
x_18
x_17
x_24
x_23
x_20
x_19
x_31
x_28
x_15
x_25
x_34
x_27
x_21
x_22
x_39
x_26
x_32
x_33
x_36
x_40
x_38
x_37
x_30
x_35
x_29
x_42
x_41
x_43
x_44
x_45
x_48
x_50
x_54
x_78
x_79
x_58
x_49
x_53
x_46
x_80
x_51
x_52
x_56
x_68
x_47
x_62
x_84
x_55
x_99
x_60
x_93
x_74
x_98
x_64
x_71
x_59
x_88
x_69
x_57
x_97
x_63
x_65
x_81
x_67
x_76
x_73
x_61
x_72
x_85
x_92
x_83
x_90
x_66
x_70
x_86
x_94
x_77
x_75
x_82
x_96
x_95
x_87
x_89
x_91
